Layer_Src,Layer_Dst,Neuron_Src_ID,Neuron_Dst_ID,Base_Weight,Spline_0,Spline_1,Spline_2,Spline_3,Spline_4,Spline_5,Spline_6,Spline_7,Spline_8,Spline_9,Spline_10
0,1,7,5,0.047635846,-0.02702827,0.084019005,0.07290579,-0.10624451,0.06990045,-0.045532346,-0.014342822,-0.027121937,-0.07034868,-0.08779393,0.05028095
0,1,8,5,-0.065296225,-0.0980154,0.07842197,0.0946119,-0.032508492,0.11214657,0.01877331,-0.014919929,-0.0711442,0.041212328,0.054545585,0.012236476
0,1,0,6,-0.051508304,0.9866398,0.78543067,-0.40933344,0.5447273,-0.5612154,0.021899618,0.21530263,0.045422282,-0.007746086,0.025726432,-0.0490374
0,1,1,6,0.097007744,0.0663693,-0.23057817,-0.046172764,0.13153225,0.048878282,0.062388584,0.014118414,0.015171474,0.040627733,0.039575376,0.026988395
0,1,2,6,-0.093792945,0.10882322,-0.06294082,-0.14388004,-0.027801558,0.047800813,0.05898469,-0.01389531,-0.042534232,-0.05232354,-0.09354249,0.10984791
0,1,3,6,-0.044329498,1.0,0.9540719,-0.37311268,0.51548755,-0.26322418,-0.14302485,0.10028561,-0.059372507,-0.04515131,-0.00073107384,-0.15597972
0,1,4,6,0.11301507,-0.095727935,-0.20601407,-0.1292426,-0.030551434,0.02039971,-0.04193585,0.12120174,-0.060311597,0.010469257,0.03072568,0.08659137
0,1,5,6,-0.00647813,-0.0003152266,-0.002312392,-0.048188515,-0.03309167,0.04016887,0.086560614,-0.053612906,0.050218973,0.107635625,-0.013596329,0.025751255
0,1,6,6,0.099553265,1.0,0.9840018,-0.3047626,0.52708304,-0.011556067,-0.04734188,0.079993,-0.030560896,0.07147434,0.06688221,0.010560664
0,1,7,6,-0.06413172,-0.0702837,-0.20802838,-0.098861106,0.07379689,0.051011514,-0.004630583,-0.04878517,0.084003136,-0.0334366,-0.057251077,0.01104787
0,1,8,6,0.09030148,0.08608451,-0.045687877,0.019278813,-0.09618088,-0.029017065,0.041765817,-0.070666365,0.015031996,-0.07543452,0.011538923,-0.09696117
0,1,0,7,0.050344862,-0.07837551,-0.10425761,0.059014514,-0.010945188,0.092526555,-0.066462174,0.006958984,-0.007287906,0.012666428,0.0900973,0.023887647
0,1,1,7,-0.019571358,-0.0036782175,0.114310995,-0.061139576,-0.1019739,-0.0857682,-0.12804496,0.052459545,-0.07033114,0.025176859,0.038622856,-0.067119285
0,1,2,7,-0.094403185,0.08820736,0.025468208,0.06489512,-0.07076527,-0.11567155,0.05536356,-0.092787914,0.0017131448,0.0036609066,-0.064210266,-0.018443622
0,1,3,7,-0.10401573,-0.21925241,-0.05679397,0.023633866,-0.06607476,0.004497541,0.0016347235,-0.026694631,-0.037388794,-0.12570617,0.024453942,0.006808954
0,1,4,7,-0.08177263,-0.02558466,0.057423823,-0.06910935,-0.08644797,-0.022931652,0.034988485,0.0022154474,-0.06798126,-0.0024946863,-0.089858405,-0.015393667
0,1,5,7,0.025577614,-0.09509651,-0.0023755357,-0.023150258,0.053459268,-0.04150041,0.006053604,-0.058868553,-0.026729781,-0.00581532,-0.003963216,-0.07081509
0,1,6,7,-0.0026638745,-0.1418401,-0.12484442,0.023001153,-0.12684868,0.015434493,-0.027937006,0.002893986,0.002581016,0.05484745,0.043361988,0.063123204
0,1,7,7,0.102004156,-0.0019937456,-0.048627846,0.044630446,0.07022023,0.027250059,-0.030191133,-0.051957216,0.085509144,-0.034678366,0.010206817,0.07401868
0,1,8,7,-0.008535423,-0.02633275,-0.09492113,-0.06725065,-0.10112541,0.023536509,-0.09244173,0.072156675,-0.027879547,-0.09694196,0.10379599,-0.018404298
0,1,0,8,-0.107226625,0.58946747,0.11383603,0.23114625,-0.23277205,-0.011594937,0.030328495,0.075452164,-0.062681936,-0.080283284,-0.11018785,-0.10438329
0,1,1,8,0.10130407,-0.045429148,0.3111907,0.010388225,-0.03456795,-0.045225013,0.021016395,-0.13384883,-0.10597499,-0.00045031327,-0.08115479,0.05035945
